id,category,subcategory,clean_text,corrupt_text,clean_label,corrupt_label,target_tokens,target_positions,difficulty,expected_layer_sensitivity,notes,Context
19,lexical,strong_swap,"Overall, the book felt outstanding","Overall, the book felt dreadful",positive,negative,"['outstanding', 'dreadful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs dreadful,Strong positive
20,lexical,strong_swap,The writing was spectacular,The writing was deplorable,positive,negative,"['spectacular', 'deplorable']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs deplorable,Strong positive
21,lexical,strong_swap,The product was spectacular,The product was disgusting,positive,negative,"['spectacular', 'disgusting']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs disgusting,Strong positive
22,lexical,strong_swap,The cinema experience was fantastic,The cinema experience was disgusting,positive,negative,"['fantastic', 'disgusting']",5,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs disgusting,Strong positive
23,lexical,strong_swap,The writing was brilliant,The writing was terrible,positive,negative,"['brilliant', 'terrible']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs terrible,Strong positive
24,lexical,strong_swap,I thought the film was magnificent,I thought the film was terrible,positive,negative,"['magnificent', 'terrible']",6,easy,"[1, 2, 3]",Strong positive/negative swap: magnificent vs terrible,Strong positive
25,lexical,strong_swap,The movie was spectacular,The movie was disgusting,positive,negative,"['spectacular', 'disgusting']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs disgusting,Strong positive
26,lexical,strong_swap,The writing was amazing,The writing was horrible,positive,negative,"['amazing', 'horrible']",4,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs horrible,Strong positive
27,lexical,strong_swap,The movie was spectacular,The movie was atrocious,positive,negative,"['spectacular', 'atrocious']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs atrocious,Strong positive
28,lexical,strong_swap,The product was outstanding,The product was awful,positive,negative,"['outstanding', 'awful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs awful,Strong positive
29,lexical,strong_swap,The product was incredible,The product was atrocious,positive,negative,"['incredible', 'atrocious']",4,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs atrocious,Strong positive
30,lexical,strong_swap,I found the service outstanding,I found the service pathetic,positive,negative,"['outstanding', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs pathetic,Strong positive
31,lexical,strong_swap,This movie is absolutely superb,This movie is absolutely abysmal,positive,negative,"['superb', 'abysmal']",5,easy,"[1, 2, 3]",Strong positive/negative swap: superb vs abysmal,Strong positive
32,lexical,strong_swap,The cinema experience was superb,The cinema experience was pathetic,positive,negative,"['superb', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: superb vs pathetic,Strong positive
33,lexical,strong_swap,The movie was incredible,The movie was abysmal,positive,negative,"['incredible', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs abysmal,Strong positive
34,lexical,strong_swap,"Overall, the movie felt incredible","Overall, the movie felt appalling",positive,negative,"['incredible', 'appalling']",5,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs appalling,Strong positive
35,lexical,strong_swap,"Overall, the book felt wonderful","Overall, the book felt atrocious",positive,negative,"['wonderful', 'atrocious']",5,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs atrocious,Strong positive
36,lexical,strong_swap,I thought it was outstanding,I thought it was terrible,positive,negative,"['outstanding', 'terrible']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs terrible,Strong positive
37,lexical,strong_swap,I thought the plot was outstanding,I thought the plot was deplorable,positive,negative,"['outstanding', 'deplorable']",6,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs deplorable,Strong positive
38,lexical,strong_swap,The meal was absolutely wonderful,The meal was absolutely pathetic,positive,negative,"['wonderful', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs pathetic,Strong positive
39,lexical,strong_swap,I found the novel outstanding,I found the novel abysmal,positive,negative,"['outstanding', 'abysmal']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs abysmal,Strong positive
40,lexical,strong_swap,The movie was amazing,The movie was awful,positive,negative,"['amazing', 'awful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs awful,Strong positive
41,lexical,strong_swap,I thought the plot was excellent,I thought the plot was atrocious,positive,negative,"['excellent', 'atrocious']",6,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs atrocious,Strong positive
42,lexical,strong_swap,The writing was fantastic,The writing was abysmal,positive,negative,"['fantastic', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs abysmal,Strong positive
43,lexical,strong_swap,This story is brilliant,This story is abysmal,positive,negative,"['brilliant', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs abysmal,Strong positive
44,lexical,strong_swap,"Overall, dinner was brilliant","Overall, dinner was abysmal",positive,negative,"['brilliant', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs abysmal,Strong positive
45,lexical,strong_swap,I found the novel superb,I found the novel abysmal,positive,negative,"['superb', 'abysmal']",5,easy,"[1, 2, 3]",Strong positive/negative swap: superb vs abysmal,Strong positive
46,lexical,strong_swap,I found it wonderful,I found it deplorable,positive,negative,"['wonderful', 'deplorable']",4,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs deplorable,Strong positive
47,lexical,strong_swap,The cinema experience was outstanding,The cinema experience was pathetic,positive,negative,"['outstanding', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs pathetic,Strong positive
48,lexical,strong_swap,The quality was excellent,The quality was pathetic,positive,negative,"['excellent', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs pathetic,Strong positive
49,lexical,strong_swap,I found the novel brilliant,I found the novel dreadful,positive,negative,"['brilliant', 'dreadful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs dreadful,Strong positive
50,lexical,strong_swap,I found the film quite spectacular,I found the film quite pathetic,positive,negative,"['spectacular', 'pathetic']",6,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs pathetic,Strong positive
51,lexical,strong_swap,"Overall, the movie felt incredible","Overall, the movie felt awful",positive,negative,"['incredible', 'awful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs awful,Strong positive
52,lexical,strong_swap,The book was fantastic,The book was abysmal,positive,negative,"['fantastic', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs abysmal,Strong positive
53,lexical,strong_swap,This item is spectacular,This item is appalling,positive,negative,"['spectacular', 'appalling']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs appalling,Strong positive
54,lexical,strong_swap,I found the service spectacular,I found the service awful,positive,negative,"['spectacular', 'awful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs awful,Strong positive
55,lexical,strong_swap,This movie is absolutely spectacular,This movie is absolutely atrocious,positive,negative,"['spectacular', 'atrocious']",5,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs atrocious,Strong positive
56,lexical,strong_swap,I thought it was magnificent,I thought it was awful,positive,negative,"['magnificent', 'awful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: magnificent vs awful,Strong positive
57,lexical,strong_swap,The movie was fantastic,The movie was dreadful,positive,negative,"['fantastic', 'dreadful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs dreadful,Strong positive
58,lexical,strong_swap,The restaurant was spectacular,The restaurant was pathetic,positive,negative,"['spectacular', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs pathetic,Strong positive
59,lexical,strong_swap,I thought it was amazing,I thought it was abysmal,positive,negative,"['amazing', 'abysmal']",5,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs abysmal,Strong positive
60,lexical,strong_swap,"Overall, it was amazing","Overall, it was atrocious",positive,negative,"['amazing', 'atrocious']",4,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs atrocious,Strong positive
61,lexical,strong_swap,"Overall, the movie felt fantastic","Overall, the movie felt deplorable",positive,negative,"['fantastic', 'deplorable']",5,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs deplorable,Strong positive
62,lexical,strong_swap,I found the service brilliant,I found the service terrible,positive,negative,"['brilliant', 'terrible']",5,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs terrible,Strong positive
63,lexical,strong_swap,The restaurant was spectacular,The restaurant was pathetic,positive,negative,"['spectacular', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs pathetic,Strong positive
64,lexical,strong_swap,I found the service excellent,I found the service abysmal,positive,negative,"['excellent', 'abysmal']",5,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs abysmal,Strong positive
65,lexical,strong_swap,I thought the film was outstanding,I thought the film was disgusting,positive,negative,"['outstanding', 'disgusting']",6,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs disgusting,Strong positive
66,lexical,strong_swap,Our dining experience was excellent,Our dining experience was dreadful,positive,negative,"['excellent', 'dreadful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs dreadful,Strong positive
67,lexical,strong_swap,I thought the film was spectacular,I thought the film was deplorable,positive,negative,"['spectacular', 'deplorable']",6,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs deplorable,Strong positive
68,lexical,strong_swap,I found it brilliant,I found it abysmal,positive,negative,"['brilliant', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs abysmal,Strong positive
69,lexical,strong_swap,The quality was amazing,The quality was horrible,positive,negative,"['amazing', 'horrible']",4,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs horrible,Strong positive
70,lexical,strong_swap,The quality was wonderful,The quality was awful,positive,negative,"['wonderful', 'awful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs awful,Strong positive
71,lexical,strong_swap,"Overall, dinner was amazing","Overall, dinner was appalling",positive,negative,"['amazing', 'appalling']",4,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs appalling,Strong positive
72,lexical,strong_swap,The food was incredible,The food was pathetic,positive,negative,"['incredible', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs pathetic,Strong positive
73,lexical,strong_swap,This movie is absolutely wonderful,This movie is absolutely deplorable,positive,negative,"['wonderful', 'deplorable']",5,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs deplorable,Strong positive
74,lexical,strong_swap,I found the film quite spectacular,I found the film quite pathetic,positive,negative,"['spectacular', 'pathetic']",6,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs pathetic,Strong positive
75,lexical,strong_swap,I found it wonderful,I found it pathetic,positive,negative,"['wonderful', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs pathetic,Strong positive
76,lexical,strong_swap,I found the service fantastic,I found the service awful,positive,negative,"['fantastic', 'awful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs awful,Strong positive
77,lexical,strong_swap,The food was incredible,The food was appalling,positive,negative,"['incredible', 'appalling']",4,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs appalling,Strong positive
78,lexical,strong_swap,I found the service magnificent,I found the service dreadful,positive,negative,"['magnificent', 'dreadful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: magnificent vs dreadful,Strong positive
79,lexical,strong_swap,"Overall, it was brilliant","Overall, it was dreadful",positive,negative,"['brilliant', 'dreadful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs dreadful,Strong positive
80,lexical,strong_swap,The meal was absolutely spectacular,The meal was absolutely pathetic,positive,negative,"['spectacular', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs pathetic,Strong positive
81,lexical,strong_swap,I thought the film was amazing,I thought the film was atrocious,positive,negative,"['amazing', 'atrocious']",6,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs atrocious,Strong positive
82,lexical,strong_swap,"Overall, the book felt magnificent","Overall, the book felt deplorable",positive,negative,"['magnificent', 'deplorable']",5,easy,"[1, 2, 3]",Strong positive/negative swap: magnificent vs deplorable,Strong positive
83,lexical,strong_swap,Our dining experience was fantastic,Our dining experience was horrible,positive,negative,"['fantastic', 'horrible']",5,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs horrible,Strong positive
84,lexical,strong_swap,The movie was fantastic,The movie was abysmal,positive,negative,"['fantastic', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs abysmal,Strong positive
85,lexical,strong_swap,The movie was magnificent,The movie was atrocious,positive,negative,"['magnificent', 'atrocious']",4,easy,"[1, 2, 3]",Strong positive/negative swap: magnificent vs atrocious,Strong positive
86,lexical,strong_swap,The movie was wonderful,The movie was terrible,positive,negative,"['wonderful', 'terrible']",4,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs terrible,Strong positive
87,lexical,strong_swap,The writing was brilliant,The writing was horrible,positive,negative,"['brilliant', 'horrible']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs horrible,Strong positive
88,lexical,strong_swap,The restaurant was wonderful,The restaurant was horrible,positive,negative,"['wonderful', 'horrible']",4,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs horrible,Strong positive
89,lexical,strong_swap,I thought the plot was brilliant,I thought the plot was abysmal,positive,negative,"['brilliant', 'abysmal']",6,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs abysmal,Strong positive
90,lexical,strong_swap,The food was outstanding,The food was deplorable,positive,negative,"['outstanding', 'deplorable']",4,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs deplorable,Strong positive
91,lexical,strong_swap,I thought the film was spectacular,I thought the film was pathetic,positive,negative,"['spectacular', 'pathetic']",6,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs pathetic,Strong positive
92,lexical,strong_swap,I found the film quite spectacular,I found the film quite deplorable,positive,negative,"['spectacular', 'deplorable']",6,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs deplorable,Strong positive
93,lexical,strong_swap,Our dining experience was outstanding,Our dining experience was horrible,positive,negative,"['outstanding', 'horrible']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs horrible,Strong positive
94,lexical,strong_swap,I found the film quite superb,I found the film quite appalling,positive,negative,"['superb', 'appalling']",6,easy,"[1, 2, 3]",Strong positive/negative swap: superb vs appalling,Strong positive
95,lexical,strong_swap,I found the service incredible,I found the service disgusting,positive,negative,"['incredible', 'disgusting']",5,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs disgusting,Strong positive
96,lexical,strong_swap,The quality was brilliant,The quality was dreadful,positive,negative,"['brilliant', 'dreadful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs dreadful,Strong positive
97,lexical,strong_swap,I thought the film was spectacular,I thought the film was pathetic,positive,negative,"['spectacular', 'pathetic']",6,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs pathetic,Strong positive
98,lexical,strong_swap,The movie was brilliant,The movie was dreadful,positive,negative,"['brilliant', 'dreadful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs dreadful,Strong positive
99,lexical,strong_swap,"Overall, it was excellent","Overall, it was horrible",positive,negative,"['excellent', 'horrible']",4,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs horrible,Strong positive
100,lexical,strong_swap,"Overall, the movie felt incredible","Overall, the movie felt disgusting",positive,negative,"['incredible', 'disgusting']",5,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs disgusting,Strong positive
101,lexical,strong_swap,The food was amazing,The food was deplorable,positive,negative,"['amazing', 'deplorable']",4,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs deplorable,Strong positive
102,lexical,strong_swap,The book was outstanding,The book was disgusting,positive,negative,"['outstanding', 'disgusting']",4,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs disgusting,Strong positive
103,lexical,strong_swap,Our dining experience was outstanding,Our dining experience was dreadful,positive,negative,"['outstanding', 'dreadful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs dreadful,Strong positive
104,lexical,strong_swap,The restaurant was amazing,The restaurant was abysmal,positive,negative,"['amazing', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs abysmal,Strong positive
105,lexical,strong_swap,I found the service brilliant,I found the service dreadful,positive,negative,"['brilliant', 'dreadful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs dreadful,Strong positive
106,lexical,strong_swap,The movie was brilliant,The movie was terrible,positive,negative,"['brilliant', 'terrible']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs terrible,Strong positive
107,lexical,strong_swap,The book was wonderful,The book was deplorable,positive,negative,"['wonderful', 'deplorable']",4,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs deplorable,Strong positive
108,lexical,strong_swap,This item is wonderful,This item is deplorable,positive,negative,"['wonderful', 'deplorable']",4,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs deplorable,Strong positive
109,lexical,strong_swap,"Overall, the movie felt magnificent","Overall, the movie felt deplorable",positive,negative,"['magnificent', 'deplorable']",5,easy,"[1, 2, 3]",Strong positive/negative swap: magnificent vs deplorable,Strong positive
110,lexical,strong_swap,The restaurant was outstanding,The restaurant was atrocious,positive,negative,"['outstanding', 'atrocious']",4,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs atrocious,Strong positive
111,lexical,strong_swap,The product was excellent,The product was pathetic,positive,negative,"['excellent', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs pathetic,Strong positive
112,lexical,strong_swap,The quality was amazing,The quality was atrocious,positive,negative,"['amazing', 'atrocious']",4,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs atrocious,Strong positive
113,lexical,strong_swap,"Overall, it was fantastic","Overall, it was atrocious",positive,negative,"['fantastic', 'atrocious']",4,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs atrocious,Strong positive
114,lexical,strong_swap,The product was excellent,The product was atrocious,positive,negative,"['excellent', 'atrocious']",4,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs atrocious,Strong positive
115,lexical,strong_swap,I found the novel outstanding,I found the novel pathetic,positive,negative,"['outstanding', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs pathetic,Strong positive
116,lexical,strong_swap,The cinema experience was fantastic,The cinema experience was abysmal,positive,negative,"['fantastic', 'abysmal']",5,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs abysmal,Strong positive
117,lexical,strong_swap,"Overall, it was spectacular","Overall, it was atrocious",positive,negative,"['spectacular', 'atrocious']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs atrocious,Strong positive
118,lexical,strong_swap,The quality was outstanding,The quality was pathetic,positive,negative,"['outstanding', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs pathetic,Strong positive
119,lexical,strong_swap,The cinema experience was outstanding,The cinema experience was deplorable,positive,negative,"['outstanding', 'deplorable']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs deplorable,Strong positive
120,lexical,strong_swap,The restaurant was brilliant,The restaurant was deplorable,positive,negative,"['brilliant', 'deplorable']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs deplorable,Strong positive
121,lexical,strong_swap,The product was spectacular,The product was deplorable,positive,negative,"['spectacular', 'deplorable']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs deplorable,Strong positive
122,lexical,strong_swap,I found the film quite superb,I found the film quite dreadful,positive,negative,"['superb', 'dreadful']",6,easy,"[1, 2, 3]",Strong positive/negative swap: superb vs dreadful,Strong positive
123,lexical,strong_swap,I found the service fantastic,I found the service dreadful,positive,negative,"['fantastic', 'dreadful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs dreadful,Strong positive
124,lexical,strong_swap,"Overall, the movie felt outstanding","Overall, the movie felt appalling",positive,negative,"['outstanding', 'appalling']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs appalling,Strong positive
125,lexical,strong_swap,The product was outstanding,The product was abysmal,positive,negative,"['outstanding', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs abysmal,Strong positive
126,lexical,strong_swap,Our dining experience was outstanding,Our dining experience was appalling,positive,negative,"['outstanding', 'appalling']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs appalling,Strong positive
127,lexical,strong_swap,The movie was excellent,The movie was abysmal,positive,negative,"['excellent', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs abysmal,Strong positive
128,lexical,strong_swap,The writing was incredible,The writing was atrocious,positive,negative,"['incredible', 'atrocious']",4,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs atrocious,Strong positive
129,lexical,strong_swap,Our dining experience was fantastic,Our dining experience was pathetic,positive,negative,"['fantastic', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs pathetic,Strong positive
130,lexical,strong_swap,This item is incredible,This item is pathetic,positive,negative,"['incredible', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs pathetic,Strong positive
131,lexical,strong_swap,The cinema experience was incredible,The cinema experience was horrible,positive,negative,"['incredible', 'horrible']",5,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs horrible,Strong positive
132,lexical,strong_swap,I thought the film was fantastic,I thought the film was horrible,positive,negative,"['fantastic', 'horrible']",6,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs horrible,Strong positive
133,lexical,strong_swap,I found it amazing,I found it disgusting,positive,negative,"['amazing', 'disgusting']",4,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs disgusting,Strong positive
134,lexical,strong_swap,The product was brilliant,The product was dreadful,positive,negative,"['brilliant', 'dreadful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs dreadful,Strong positive
135,lexical,strong_swap,I found the novel excellent,I found the novel pathetic,positive,negative,"['excellent', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs pathetic,Strong positive
136,lexical,strong_swap,The quality was spectacular,The quality was awful,positive,negative,"['spectacular', 'awful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs awful,Strong positive
137,lexical,strong_swap,I found the service outstanding,I found the service disgusting,positive,negative,"['outstanding', 'disgusting']",5,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs disgusting,Strong positive
138,lexical,strong_swap,The quality was brilliant,The quality was awful,positive,negative,"['brilliant', 'awful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs awful,Strong positive
139,lexical,strong_swap,The meal was absolutely fantastic,The meal was absolutely pathetic,positive,negative,"['fantastic', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs pathetic,Strong positive
140,lexical,strong_swap,"Overall, it was wonderful","Overall, it was abysmal",positive,negative,"['wonderful', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs abysmal,Strong positive
141,lexical,strong_swap,The book was outstanding,The book was pathetic,positive,negative,"['outstanding', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs pathetic,Strong positive
142,lexical,strong_swap,The cinema experience was amazing,The cinema experience was dreadful,positive,negative,"['amazing', 'dreadful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs dreadful,Strong positive
143,lexical,strong_swap,The movie was wonderful,The movie was dreadful,positive,negative,"['wonderful', 'dreadful']",4,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs dreadful,Strong positive
144,lexical,strong_swap,Our dining experience was superb,Our dining experience was atrocious,positive,negative,"['superb', 'atrocious']",5,easy,"[1, 2, 3]",Strong positive/negative swap: superb vs atrocious,Strong positive
145,lexical,strong_swap,I found the novel wonderful,I found the novel horrible,positive,negative,"['wonderful', 'horrible']",5,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs horrible,Strong positive
